cpu,align_entry,padding,ev_name,ref_cycles,ev_count
skl,16,NOP112,UOPS_RETIRED_RETIRE_SLOTS,37426.0,17062758250
skl,16,NOP113,BACLEARS_ANY,37856.0,7874078
skl,16,NOP113,BRANCH_INSTRUCTIONS_RETIRED,37429.0,4108201307
skl,16,NOP113,DSB2MITE_SWITCHES_PENALTY_CYCLES,37625.0,371452041
skl,16,NOP113,IDQ_DSB_UOPS,37643.0,32255382603
skl,16,NOP113,IDQ_MITE_UOPS,37723.0,405778524
skl,16,NOP113,IDQ_MS_UOPS,37337.0,10603885
skl,16,NOP113,IDQ_UOPS_NOT_DELIVERED_CORE,37768.0,14797174456
skl,16,NOP113,INT_MISC_CLEAR_RESTEER_CYCLES,37713.0,1459585728
skl,16,NOP113,INT_MISC_RECOVERY_CYCLES,37839.0,2127427942
skl,16,NOP113,LSD_UOPS,37881.0,0
skl,16,NOP113,MISPREDICTED_BRANCH_RETIRED,37823.0,381452959
skl,16,NOP113,UOPS_DISPATCHED_PORT_0,38795.0,1644290471
skl,16,NOP113,UOPS_DISPATCHED_PORT_1,37777.0,1755437825
skl,16,NOP113,UOPS_DISPATCHED_PORT_2,37357.0,5031617576
skl,16,NOP113,UOPS_DISPATCHED_PORT_3,38127.0,4745740859
skl,16,NOP113,UOPS_DISPATCHED_PORT_4,37295.0,3252747187
skl,16,NOP113,UOPS_DISPATCHED_PORT_5,37763.0,1939345590
skl,16,NOP113,UOPS_DISPATCHED_PORT_6,37209.0,5994214284
skl,16,NOP113,UOPS_DISPATCHED_PORT_7,37834.0,1864370648
skl,16,NOP113,UOPS_ISSUED_ALL,37238.0,29077424692
skl,16,NOP113,UOPS_RETIRED_ANY,37750.0,20335090307
skl,16,NOP113,UOPS_RETIRED_RETIRE_SLOTS,37266.0,17062759205
skl,16,NOP128,BACLEARS_ANY,45622.0,80593
skl,16,NOP128,BRANCH_INSTRUCTIONS_RETIRED,45993.0,4108201622
skl,16,NOP128,DSB2MITE_SWITCHES_PENALTY_CYCLES,45862.0,1458331
skl,16,NOP128,IDQ_DSB_UOPS,45967.0,39320979218
skl,16,NOP128,IDQ_MITE_UOPS,46141.0,11615336
skl,16,NOP128,IDQ_MS_UOPS,45985.0,11832355
skl,16,NOP128,IDQ_UOPS_NOT_DELIVERED_CORE,46038.0,16765086246
skl,16,NOP128,INT_MISC_CLEAR_RESTEER_CYCLES,45849.0,1864858899
skl,16,NOP128,INT_MISC_RECOVERY_CYCLES,45774.0,3069865387
skl,16,NOP128,LSD_UOPS,46110.0,0
skl,16,NOP128,MISPREDICTED_BRANCH_RETIRED,45785.0,547897707
